,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
0,1,211000000000,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,M,1949-03-05 00:00:00
1,2,180000000000,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,M,1971-06-28 00:00:00
2,3,114000000000,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,M,1964-01-12 00:00:00
3,4,107000000000,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,M,1944-08-17 00:00:00
4,5,106000000000,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,M,1930-08-30 00:00:00
5,6,104000000000,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,M,1955-10-28 00:00:00
6,7,94500000000,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,M,1942-02-14 00:00:00
7,8,93000000000,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,M,1940-01-28 00:00:00
8,9,83400000000,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,M,1957-04-19 00:00:00
9,10,80700000000,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,M,1956-03-24 00:00:00
10,11,80500000000,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,F,1953-07-10 00:00:00
11,12,79200000000,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,M,1973-03-26 00:00:00
12,13,77300000000,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,M,1936-03-28 00:00:00
13,14,76000000000,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,True,M,1973-08-21 00:00:00
14,15,68000000000,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,M,1954-12-01 00:00:00
15,16,64400000000,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,M,1984-05-14 00:00:00
16,17,59000000000,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,M,1935-11-01 00:00:00
17,17,59000000000,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,F,1962-04-12 00:00:00
18,19,58800000000,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,1948-06-07 00:00:00
19,20,57600000000,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,1944-10-27 00:00:00
20,21,56700000000,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,F,1949-10-07 00:00:00
21,22,54400000000,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,M,1957-06-12 00:00:00
22,23,50100000000,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,M,1965-02-23 00:00:00
23,24,47200000000,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,M,1962-06-24 00:00:00
24,25,45100000000,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,M,1938-02-24 00:00:00
25,26,45000000000,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,M,1984-01-01 00:00:00
26,27,42900000000,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,M,1939-09-24 00:00:00
27,28,40100000000,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,M,1936-08-21 00:00:00
28,29,39100000000,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,M,1937-06-02 00:00:00
29,30,38900000000,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,M,1964-09-21 00:00:00
