,rank,finalWorth,personName,country,industries,countryOfCitizenship,movement?
28,29,39100000000,Klaus-Michael Kuehne,Switzerland,Logistics,Germany,True
29,30,38900000000,Giovanni Ferrero,Belgium,Food & Beverage,Italy,True
32,33,38000000000,Li Ka-shing,"Hong Kong, China (SAR)",Diversified,Hong Kong,True
37,38,33400000000,Robin Zeng,China,Automotive,Hong Kong,True
39,40,32100000000,Len Blavatnik,United Kingdom,Diversified,United States,True
40,41,31600000000,Alain Wertheimer,United States,Fashion & Retail,France,True
41,41,31600000000,Gerard Wertheimer,United States,Fashion & Retail,France,True
46,47,29500000000,Lee Shau Kee,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
57,58,25200000000,Andrey Melnichenko & family,United Arab Emirates,Metals & Mining,Russia,True
61,62,23700000000,Vladimir Potanin,Russian Federation,Metals & Mining,Russia,True
69,70,22100000000,Vladimir Lisin,Russian Federation,Metals & Mining,Russia,True
72,72,21600000000,Leonid Mikhelson & family,Russian Federation,Energy,Russia,True
78,79,20900000000,Alexey Mordashov & family,Russian Federation,Metals & Mining,Russia,True
79,80,20500000000,Vagit Alekperov,Russian Federation,Energy,Russia,True
85,86,18900000000,Eyal Ofer,Monaco,Diversified,Israel,True
90,89,18500000000,Gennady Timchenko,Russian Federation,Energy,Russia,True
92,93,17700000000,Lakshmi Mittal,United Kingdom,Metals & Mining,India,True
99,100,16700000000,Vicky Safra & family,Switzerland,Finance & Investments,Brazil,True
101,101,16500000000,Renata Kellnerova & family,Czechia,Finance & Investments,Czech Republic,True
102,103,16300000000,Li Xiting,China,Healthcare,Singapore,True
105,106,16000000000,Michael Platt,Switzerland,Finance & Investments,United Kingdom,True
108,108,15800000000,Jorge Paulo Lemann & family,Switzerland,Food & Beverage,Brazil,True
109,108,15800000000,Peter Woo,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
117,119,14700000000,Charlene de Carvalho-Heineken & family,United Kingdom,Food & Beverage,Netherlands,True
118,120,14600000000,Xu Hang,China,Healthcare,Hong Kong,True
120,122,14400000000,Alisher Usmanov,Uzbekistan,Metals & Mining,Russia,True
124,126,14100000000,Kwong Siu-hing,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
125,127,14000000000,Idan Ofer,United Kingdom,Diversified,Israel,True
127,128,13900000000,Lui Che Woo,"Hong Kong, China (SAR)",Gambling & Casinos,Hong Kong,True
128,130,13700000000,John Fredriksen,United Kingdom,Logistics,Cyprus,True
133,133,13300000000,Joseph Lau,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
138,140,12600000000,Mikhail Fridman,United Kingdom,Energy,Russia,True
144,146,11800000000,Robert Kuok,"Hong Kong, China (SAR)",Diversified,Malaysia,True
152,153,11300000000,Viatcheslav Kantor,Israel,Manufacturing,Russia,True
154,153,11300000000,Mikhail Prokhorov,Switzerland,Finance & Investments,Russia,True
157,159,11000000000,Gong Hongjia & family,"Hong Kong, China (SAR)",Finance & Investments,Hong Kong,True
165,167,10500000000,Suleiman Kerimov & family,Russian Federation,Finance & Investments,Russia,True
167,167,10500000000,Changpeng Zhao,United Arab Emirates,Finance & Investments,Canada,True
173,171,10200000000,Viktor Rashnikov,Russian Federation,Manufacturing,Russia,True
174,171,10200000000,Eduardo Saverin,Singapore,Technology,Brazil,True
182,184,9800000000,Vinod Adani,United Arab Emirates,Diversified,Cyprus,True
183,184,9800000000,Nicolas Puech,Switzerland,Fashion & Retail,France,True
188,190,9700000000,Andrei Guriev & family,Russian Federation,Manufacturing,Russia,True
189,190,9700000000,Michael Kim,Korea (Republic of),Finance & Investments,United States,True
206,208,9200000000,Roman Abramovich & family,Russian Federation,Diversified,Russia,True
208,208,9200000000,Daniel Kretinsky,Czechia,Energy,Czech Republic,True
213,215,9000000000,David Cheriton,United States,Technology,Canada,True
218,220,8900000000,Finn Rausing,United Kingdom,Food & Beverage,Sweden,True
219,220,8900000000,Jorn Rausing,United Kingdom,Food & Beverage,Sweden,True
220,220,8900000000,Kirsten Rausing,United Kingdom,Food & Beverage,Sweden,True
221,223,8800000000,Tatyana Bakalchuk,Russian Federation,Fashion & Retail,Russia,True
227,223,8800000000,Carrie Perrodo & family,United Kingdom,Energy,France,True
234,232,8600000000,Carlos Alberto Sicupira & family,Switzerland,Food & Beverage,Brazil,True
236,232,8600000000,Andreas von Bechtolsheim & family,United States,Technology,Germany,True
242,242,8400000000,Blair Parry-Okeden,Australia,Media & Entertainment,United States,True
246,246,8300000000,Francine von Finck & family,Switzerland,Finance & Investments,Germany,True
247,249,8200000000,Francis Choi,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
248,249,8200000000,German Khan,Russian Federation,Energy,Russia,True
258,256,8100000000,Karel Komarek,Switzerland,Gambling & Casinos,Czech Republic,True
260,261,8000000000,Leonid Fedun,Russian Federation,Energy,Russia,True
264,261,8000000000,Pavel Tykac,Czechia,Metals & Mining,Czech Republic,True
265,261,8000000000,Eric Wittouck,Monaco,Finance & Investments,Belgium,True
269,268,7900000000,Jay Y. Lee,Korea (Republic of),Technology,South Korea,True
272,268,7900000000,Andrei Skoch & family,Russian Federation,Metals & Mining,Russia,True
295,290,7600000000,Joseph Tsai,"Hong Kong, China (SAR)",Technology,Canada,True
304,305,7400000000,Sri Prakash Lohia,United Kingdom,Manufacturing,Indonesia,True
311,312,7300000000,Iskander Makhmudov,Russian Federation,Metals & Mining,Russia,True
314,312,7300000000,Wang Laichun,China,Technology,Hong Kong,True
320,317,7200000000,Guillaume Pousaz,United Arab Emirates,Finance & Investments,Switzerland,True
327,325,7100000000,Frederik Paulsen,Switzerland,Healthcare,Sweden,True
331,332,7000000000,Dmitri Bukhman,United Kingdom,Media & Entertainment,Israel,True
332,332,7000000000,Igor Bukhman,United Kingdom,Media & Entertainment,Israel,True
336,332,7000000000,Law Kar Po,"Hong Kong, China (SAR)",Real Estate,Hong Kong,True
338,332,7000000000,Shapoor Mistry,India,Diversified,Ireland,True
356,352,6800000000,Yuri Milner,United States,Finance & Investments,Israel,True
360,352,6800000000,Viktor Vekselberg,Russian Federation,Diversified,Russia,True
361,352,6800000000,Wang Laisheng,China,Technology,Hong Kong,True
369,365,6700000000,Li Ping,China,Automotive,Hong Kong,True
390,390,6500000000,Nathan Kirsh,Eswatini (Kingdom of),Fashion & Retail,Eswatini (Swaziland),True
393,390,6500000000,Simon Reuben,Monaco,Diversified,United Kingdom,True
394,390,6500000000,Radovan Vitek,Switzerland,Real Estate,Czech Republic,True
399,397,6400000000,Alexei Kuzmichev,France,Energy,Russia,True
400,397,6400000000,Dmitry Rybolovlev & family,Monaco,Manufacturing,Russia,True
405,405,6300000000,John Grayken,United Kingdom,Finance & Investments,Ireland,True
413,411,6200000000,Ruan Liping,China,Manufacturing,Hong Kong,True
414,411,6200000000,Ruan Xueping,China,Manufacturing,Hong Kong,True
420,418,6100000000,Michael Kadoorie,"Hong Kong, China (SAR)",Energy,Hong Kong,True
421,418,6100000000,Zhou Qunfei,"Hong Kong, China (SAR)",Technology,Hong Kong,True
422,425,6000000000,Alexander Abramov,Russian Federation,Metals & Mining,Russia,True
429,425,6000000000,Joe Lewis,Bahamas,Finance & Investments,United Kingdom,True
430,425,6000000000,Frank Lowy,Israel,Finance & Investments,Australia,True
436,437,5900000000,Andreas Halvorsen,United States,Finance & Investments,Norway,True
438,437,5900000000,Tsai Eng-meng,China,Food & Beverage,Taiwan,True
